,Dataset,dataset_sufix,use_dict_encoding,compression,partition_cols,load_id,Dataset size,duration
0,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30000,80,0 days 00:00:01.091566000
1,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30001,6,0 days 00:00:04.635244000
2,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30002,2,0 days 00:00:02.797598000
3,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30003,93,0 days 00:00:02.592882000
4,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30004,29,0 days 00:00:02.556157000
5,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30005,74,0 days 00:00:05.334885000
6,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30006,1,0 days 00:00:02.831324000
7,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30007,31,0 days 00:00:02.596354000
8,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30008,66,0 days 00:00:02.611034000
9,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30009,14,0 days 00:00:02.772511000
10,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30010,149,0 days 00:00:02.947437000
11,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30011,119,0 days 00:00:02.666601000
12,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30012,2,0 days 00:00:02.708729000
13,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30013,2,0 days 00:00:03.375426000
14,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30014,40,0 days 00:00:03.255361000
15,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30015,143,0 days 00:00:02.600911000
16,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30016,25,0 days 00:00:02.713098000
17,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30017,13,0 days 00:00:02.613852000
18,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30018,28,0 days 00:00:03.236229000
19,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30019,2,0 days 00:00:02.625271000
20,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30020,13,0 days 00:00:02.568657000
21,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30021,30,0 days 00:00:02.627832000
22,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30022,35,0 days 00:00:03.136013000
23,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30023,14,0 days 00:00:02.605995000
24,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30024,14,0 days 00:00:02.545566000
25,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30025,13,0 days 00:00:02.719528000
26,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30026,32,0 days 00:00:05.797156000
27,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",30027,18,0 days 00:00:02.845229000
