,Dataset,dataset_sufix,use_dict_encoding,compression,partition_cols,load_id,Dataset size,duration
0,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20000,80,0 days 00:00:01.152614000
1,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20001,6,0 days 00:00:03.056242000
2,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20002,2,0 days 00:00:02.536182000
3,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20003,93,0 days 00:00:02.238220000
4,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20004,29,0 days 00:00:02.172906000
5,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20005,74,0 days 00:00:02.173515000
6,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20006,1,0 days 00:00:02.222517000
7,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20007,31,0 days 00:00:02.818237000
8,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20008,66,0 days 00:00:02.133654000
9,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20009,14,0 days 00:00:02.476054000
10,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20010,149,0 days 00:00:02.449101000
11,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20011,119,0 days 00:00:03.030468000
12,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20012,2,0 days 00:00:02.817375000
13,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20013,2,0 days 00:00:02.323677000
14,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20014,40,0 days 00:00:02.456826000
15,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20015,143,0 days 00:00:02.183825000
16,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20016,25,0 days 00:00:02.361760000
17,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20017,13,0 days 00:00:02.703433000
18,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20018,28,0 days 00:00:02.738211000
19,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20019,2,0 days 00:00:02.615642000
20,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20020,13,0 days 00:00:02.246308000
21,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20021,30,0 days 00:00:02.616767000
22,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20022,35,0 days 00:00:02.198998000
23,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20023,14,0 days 00:00:02.218562000
24,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20024,14,0 days 00:00:02.733114000
25,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20025,13,0 days 00:00:02.254276000
26,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20026,32,0 days 00:00:03.527015000
27,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20027,18,0 days 00:00:02.214612000
28,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20028,2,0 days 00:00:02.821227000
29,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20029,93,0 days 00:00:02.237860000
30,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20030,42,0 days 00:00:02.429017000
31,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20031,53,0 days 00:00:02.317876000
32,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20032,11,0 days 00:00:02.441413000
33,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20033,250,0 days 00:00:02.828036000
34,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20034,101,0 days 00:00:02.277847000
35,simm_risk_data_eqderiv,20200723t2307,true,gzip,"['tabledate', 'atomicload']",20035,7,0 days 00:00:02.318461000
