,Dataset,dataset_sufix,query,example_result,duration
0,simm_risk_data_eqderiv,20200723t1858,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417'",[{'VarCharValue': '16689328'}],0 days 00:00:03.482473000
1,simm_risk_data_eqderiv,20200723t1858,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE amount>10000 AND tabledate='20200417'","[{'VarCharValue': 'PV'}, {'VarCharValue': '17611.12'}]",0 days 00:00:24.840540000
2,simm_risk_data_eqderiv,20200723t1858,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY dbinserttime","[{'VarCharValue': '20200723t195636.959383z'}, {'VarCharValue': '5.216214686069834E10'}]",0 days 00:00:04.476629000
3,simm_risk_data_eqderiv,20200723t1858,"SELECT distinct(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417'",[{'VarCharValue': '17611.12'}],0 days 00:00:04.602638000
4,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY amount","[{'VarCharValue': '61898.12'}, {'VarCharValue': '208'}]",0 days 00:00:03.249558000
5,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE tabledate='20200417' GROUP BY amount HAVING count(*)>1","[{'VarCharValue': '33432.12'}, {'VarCharValue': '224'}]",0 days 00:00:03.102842000
6,simm_risk_data_eqderiv,20200723t1858,"SELECT COUNT(*) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858""",[{'VarCharValue': '31292490'}],0 days 00:00:01.932154000
7,simm_risk_data_eqderiv,20200723t1858,"SELECT risktype, amount FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" WHERE amount>10000","[{'VarCharValue': 'PV'}, {'VarCharValue': '12004.12'}]",0 days 00:00:41.985538000
8,simm_risk_data_eqderiv,20200723t1858,"SELECT dbinserttime, SUM(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY dbinserttime","[{'VarCharValue': '20200723t194354.571207z'}, {'VarCharValue': '5.216214686069834E10'}]",0 days 00:00:04.262724000
9,simm_risk_data_eqderiv,20200723t1858,"SELECT distinct(amount) FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858""",[{'VarCharValue': '56723.12'}],0 days 00:00:03.074180000
10,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY amount","[{'VarCharValue': '7412.12'}, {'VarCharValue': '252'}]",0 days 00:00:03.119767000
11,simm_risk_data_eqderiv,20200723t1858,"SELECT amount, count(*) count FROM ""simm_poc"".""simm_risk_data_eqderiv_20200723t1858"" GROUP BY amount HAVING count(*)>1","[{'VarCharValue': '51093.12'}, {'VarCharValue': '324'}]",0 days 00:00:03.475538000
